입영월,군사특기명,입영부대,접수인원,지원인원,남은인원,커트라인
2023년5월,K-21보병전투차량부대정비,육군훈련소,7,23,16,65
2023년5월,K-55자주포조종,육군훈련소,32,36,4,46
2023년5월,K-9자주포조종,육군훈련소,34,42,8,46
2023년5월,K239포병,육군훈련소,30,34,4,54
2023년5월,M/A포병,육군훈련소,4,5,1,56
2023년5월,사격지휘,육군훈련소,143,45,-98,54
2023년5월,포병레이더,육군훈련소,1,2,1,67
2023년5월,포병측지,육군훈련소,16,27,11,56
2023년5월,현무포병,육군훈련소,7,8,1,58
2023년5월,발칸운용/정비,육군훈련소,61,344,283,56
2023년5월,방공작전통제,육군훈련소,30,253,223,58
2023년5월,휴대용유도무기운용/정비,육군훈련소,16,255,239,60
2023년5월,군사정보,육군훈련소,40,105,65,64
2023년5월,땅굴탐지,육군훈련소,18,9,-9,58
2023년5월,감시장비운용,육군훈련소,258,295,37,52
2023년5월,소방장비,육군훈련소,15,53,38,67
2023년5월,배관/기계설비,육군훈련소,1,14,13,93
2023년5월,전기설비,육군훈련소,1,47,46,93
2023년5월,다목적굴착기운전,육군훈련소,3,43,40,75
2023년5월,도하장비조종,육군훈련소,7,11,4,63
2023년5월,정수장비운용,육군훈련소,9,31,22,63
2023년5월,공기압축기운용,육군훈련소,1,4,3,88
2023년5월,크레인운용,육군훈련소,5,14,9,67
2023년5월,로더운전,육군훈련소,9,20,11,65
2023년5월,발전기운용/정비,육군훈련소,9,27,18,84
2023년5월,전술통신장비운용/정비,육군훈련소,308,135,-173,52
2023년5월,무선전송장비운용/정비,육군훈련소,101,144,43,46
2023년5월,이동통신장비운용/정비,육군훈련소,117,51,-66,56
2023년5월,정보통신망관리장비운용/정비,육군훈련소,30,50,20,60
2023년5월,교환시설운용/정비,육군훈련소,15,16,1,52
2023년5월,MW운용/정비,육군훈련소,27,101,74,86
2023년5월,위성운용/정비,육군훈련소,46,109,63,66
2023년5월,레이다운용/정비,육군훈련소,40,52,12,56
2023년5월,네트워크운용/정비,육군훈련소,113,175,62,59
2023년5월,전술C4I운용/정비,육군훈련소,46,106,60,63
2023년5월,정보체계운용/정비,육군훈련소,38,69,31,62
2023년5월,기동헬기운용,육군훈련소,90,80,-10,54
2023년5월,화생방제독,육군훈련소,63,99,36,56
2023년5월,화생방정찰,육군훈련소,18,107,89,69
2023년5월,총기정비,육군훈련소,5,13,8,64
2023년5월,화포정비,육군훈련소,1,3,2,66
2023년5월,광학기재정비,육군훈련소,10,49,39,86
2023년5월,감시장비정비,육군훈련소,3,17,14,67
2023년5월,전차정비,육군훈련소,10,14,4,54
2023년5월,유선장비정비,육군훈련소,13,31,18,60
2023년5월,무선장비정비,육군훈련소,9,32,23,71
2023년5월,차량정비,육군훈련소,56,78,22,56
2023년5월,공병장비정비,육군훈련소,6,15,9,60
2023년5월,발전기정비,육군훈련소,8,23,15,72
2023년5월,용접/기계공작,육군훈련소,1,24,23,93
2023년5월,화생방장비정비,육군훈련소,8,17,9,64
2023년5월,탄약관리,육군훈련소,129,178,49,57
2023년5월,장비수리부속공구보급,육군훈련소,17,70,53,68
2023년5월,편성보급,육군훈련소,33,97,64,62
2023년5월,지원보급,육군훈련소,93,141,48,59
2023년5월,연료관리,육군훈련소,25,37,12,57
2023년5월,물자근무지원,육군훈련소,15,55,40,64
2023년5월,조리,육군훈련소,330,388,58,46
2023년5월,수송운용(차량운전),육군훈련소,1501,3050,1549,100
2023년5월,수송운용(차량운전),1사단,61,239,178,107
2023년5월,수송운용(차량운전),25사단,60,221,161,105
2023년5월,수송운용(차량운전),9사단,61,288,227,107
2023년5월,수송운용(차량운전),3사단,53,162,109,101
2023년5월,수송운용(차량운전),6사단,72,216,144,102
2023년5월,수송운용(차량운전),5사단,60,201,141,104
2023년5월,수송운용(차량운전),28사단,60,196,136,103
2023년5월,수송운용(차량운전),51사단,72,480,408,108
2023년5월,수송운용(차량운전),55사단,36,308,272,110
2023년5월,견인차량운전,육군훈련소,30,47,17,97
2023년5월,지게차운전,육군훈련소,25,68,43,69
2023년5월,차륜형장갑차운전,육군훈련소,34,50,16,95
2023년5월,차량부대정비,육군훈련소,60,68,8,56
2023년5월,K-53계열차량운전,육군훈련소,4,8,4,94
2023년5월,구난차량운전,육군훈련소,35,54,19,96
2023년5월,크레인차량운전,육군훈련소,16,24,8,96
2023년5월,전장이동통제,육군훈련소,16,116,100,77
2023년5월,항만운용,육군훈련소,12,43,31,67
2023년5월,선박운용,육군훈련소,3,12,9,78
2023년5월,군사경찰,육군훈련소,166,287,121,49
